Article Title,Author Keywords,Keywords Plus,Abstract
Using Item Response Theory to Generate an Item Pool for an E-Learning-System,Learning Analytics; Big Data Analysis; Item Response Theory; Item Pool; Adaptive Learning; Evaluation,,"This paper(1) demonstrates how the application of item response theory yields useful item characteristics, which further can be the foundation of item pools and therefore adaptive educational software to come."
Student Attitudes toward Learning Analytics in Higher Education: The Fitbit Version of the Learning World,learning analytics; higher education; student attitudes; dashboards; big data,BIG DATA; PRIVACY,"Increasingly, higher education institutions are exploring the potential of learning analytics to predict student retention, understand learning behaviors, and improve student learning through providing personalized feedback and support. The technical development of learning analytics has outpaced consideration of ethical issues surrounding their use. Of particular concern is the absence of the student voice in decision-making about learning analytics. We explored higher education students' knowledge, attitudes, and concerns about big data and learning analytics through four focus groups (N = 41). Thematic analysis of the focus group transcripts identified six key themes. The first theme, Uninformed and Uncertain, represents students' lack of knowledge about learning analytics prior to the focus groups. Following the provision of information, viewing of videos and discussion of learning analytics scenarios three further themes: Help or Hindrance to Learning, More than a Number, and Impeding Independence; represented students' perceptions of the likely impact of learning analytics on their learning. Driving Inequality and Where Will it Stop? represent ethical concerns raised by the students about the potential for inequity, bias and invasion of privacy and the need for informed consent. A key tension to emerge was how personal vs. collective purposes or principles can intersect with uniform vs. autonomous activity. The findings highlight the need the need to engage students in the decision making process about learning analytics."
Ethical Considerations in the Practical Application of the Unisa Socio-Critical Model of Student Success,learning analytics; academic analytics; algocracy; higher education,,"The prediction and classification of student performance has always been a central concern within higher education institutions. It is therefore natural for higher education institutions to harvest and analyse student data to inform decisions on education provision in resource constrained South African environments. One of the drivers for the use of learning and academic analytics is the pressures for greater accountability in the areas of improved learning outcomes and student success. Added to this is the pressure on local government to produce well-educated populace to participate in the economy. The counter discourse in the field of big data cautions against algocracy where algorithms takeover the human process of democratic decision making. Proponents of this view argue that we run the risk of creating institutions that are beholden to algorithms predicting student success but are unsure of how they work and are too afraid to ignore their guidance. This paper aims to discuss the ethics, values, and moral arguments revolving the use of big data using a practical demonstration of learning analytics applied at Unisa."
Role of personality in computer based learning,Computer based learning; Edutainment; Personality models; learner's personality; Intelligent tutoring systems; Adaptive learning,ACHIEVEMENT; STUDENTS; MODEL; PERFORMANCE; INSTRUCTION; TECHNOLOGY; DESIGN; SYSTEM; STYLE; GAME,"With the rapid growth of technology enhanced learning, new mediums for learning have emerged. One of these mediums is computer based learning where the main concern is how to design a computer based learning system which takes into consideration the learners' differences. Personality is considered as one of the most critical sources of individual differences. This study investigates how personality differences-within learners can affect computer based learning, through a comprehensive review of the literature. The highlighted results from the obtained nineteen studies are: (a) the most referred to personality model in computer based learning is MBTI; (b) personality traits affect how learners prefer learning content and learning approach like collecting information, communicating with instructor and peer, study behavior, acting and performing; (c) a new model of personality variables should be considered in computer based learning by taking all interested researchers and practitioners into accounts; and (d) the traditional questionnaire approach which is still the pre-dominant method to identify the learner's personality; and this needs to be changed with new potential of big data and learning analytics. Furthermore, this study presents a new implicit approach using learning analytics instead of questionnaire-based approach to identify the learner's personality. (C) 2016 Elsevier Ltd. All rights reserved."
CERTAIN INVESTIGATIONS ON BIG DATA APPROACHES IN EDUCATION AND LEARNING ANALYTICS,Big Data; Business intelligence (BI); Data warehouse; Enterprise resource planning (ERP); Visualization-based data discovery,,"The applications of computerized tools for learning management systems in education have been increasing in the last few years. Online contents by means of mobile phones, primarily smart phones enable the students to keep the learning processes around the clock. The enormous amount of data captured from student's online activities is wasted as traditional learning analytics are not capable of processing them. So in this paper it is proposed to use Big Data technologies and tools into education for capturing learning process of students, strategic operational decisions at institutions. The computing platform and teaching methods to accommodate emerging technologies for related courses are also investigated in this paper. In addition, visualization-based data discovery tools are focused on the front end of big data on helping institutions explore the data more easily and understand it more fully."
Learning Opportunities for Mass Collaboration Projects Through Learning Analytics: a Case Study,Active learning; Big data; collaborative projects; learning analytics; MOOC,WIKI; SOCIOMETRY; SCIENCE,"One way to improve the education of our students is to promote the creation of mass collaborative projects. These projects, also seen as learning products, would also help to better scale our learning experiences (massive open online courses) and generate collective value from the hours and cognitive efforts invested doing academic work. However, the complexities to assess those projects are challenging. This requires developing new monitoring and feedback systems for this kind of projects. This paper presents an exploratory analysis for applying learning analytics methodologies based on social networks analysis, factorial analysis, k-means clustering, and naive Bayes algorithms."
Digital analytics in professional work and learning,Digital analytics; professional practice; learning; algorithms; big data; software,HIDDEN CURRICULUM; TECHNOLOGY,"In a wide range of fields, professional practice is being transformed by the increasing influence of digital analytics: the massive volumes of big data, and software algorithms that are collecting, comparing and calculating that data to make predictions and even decisions. Researchers in a number of social sciences have been calling attention to the far-reaching and accelerating consequences of these forces, claiming that many professionals, researchers, policy-makers and the public are just beginning to realise the enormous potentials and challenges these analytics are producing. Yet, outside of particular areas of research and practice, such as learning analytics, there has been little discussion of this to date in the broader education literature. This article aims to set out some key issues particularly relevant to the understandings of professional practice, knowledge and learning posed by the linkages of big data and software code. It begins by outlining definitions, forms and examples of these analytics, their potentialities and some of the hidden impact, and then presents issues for researchers and educators. It seeks to contribute to and extend debates taking place in certain quarters to a broader professional education and work audience."
Big Opportunities and Big Concerns of Big Data in Education,Big data; Education; Educational policymaking; Educational policy implementation; Ethics; Learning analytics; Privacy,KNOWLEDGE; SCHOOLS,"Against the backdrop of the ever-increasing influx of big data, this article examines the opportunities and concerns over big data in education. Specifically, this article first introduces big data, followed by delineating the potential opportunities of using big data in education in two areas: learning analytics and educational policy. Then, the concerns over data security, privacy protection, and ethical boundaries of accessing personal digital data are discussed. The article concludes with an invitation to education practitioners, policymakers, and researchers to advance our understanding of big data and better serve students in the digital era."
The Evolution of Research on Digital Education,MOOCs; Digital Education; Learning Analytics,,"How does AI&EdAIED today compare to 25 years ago? This paper addresses this evolution by identifying six trends. The trends are ongoing and will influence learning technologies going forward. First, the physicality of interactions and the physical space of the learner became genuine components of digital education. The frontier between the digital and the physical has faded out. Similarly, the opposition between individual and social views on cognition has been subsumed by integrated learning scenarios, which means that AIED pays more attention today to social interactions than it did at its outset. Another trend is the processing of learners' behavioural particles, which do not carry very many semantics when considered individually, but are predictive of knowledge states when large data sets are processed with machine learning methods. The development of probabilistic models and the integration of crowdsourcing methods has produced another trend: the design of learning environments has become less deterministic than before. The notion of learning environment evolved from a rather closed box to an open ecosystem in which multiple components are distributed over multiple platforms and where multiple stakeholders interact. Among these stakeholders, it is important to notice that teachers play a more important role than before: they interact not only at the design phase (authoring) but also in the runtime phase (orchestration). These trends are not specific to AIED; they depict the evolution of learning technologies as a whole."
"Rethinking assessment in a digital age: opportunities, challenges and risks",formative; summative; e-assessment; collaboration; learning analytics; ethics; inclusion; digital literacies,HIGHER-EDUCATION; TECHNOLOGY; RESISTANCE; FEEDBACK; STUDENTS,"While it is frequently argued that assessment sits at the heart of the learning process, in practice assessment often remains narrowly focused on qualifications and reporting achievements, driven by institutional and societal aspirations and tensions such as accountability and economic well being. Yet, the need for assessment to account for the knowledge, skills, dispositions and attitudes necessary to equip young people for a changing and increasingly digital world is also increasingly acknowledged. Based on our recent research review, this article critically examines the role of technology enhanced assessment (or TEA). We argue that while technology offers many potentially creative opportunities for innovation and for rethinking assessment purposes, there are also numerous risks and challenges. In particular we highlight ethical concerns over social exclusion and new forms of digital dividedness and the increasing risks associated with big data and the rise of learning analytics. Finally, we note that much research and innovation happens in silos, where policy, research and practice on assessment, technology enhanced assessment and ethical and political concerns are not linked up. We conclude that there needs to be a much more wide-ranging, critical and nuanced discussion in educational and policy circles so that debates about the potential of technology can be linked to improving assessment in the light of the range of social and political challenges that such progress presents. We end with some critical questions for policy, practice and research communities, which we offer as a starting point for future thinking and ways forward."
Student privacy in learning analytics: An information ethics perspective,information privacy; Autonomy; higher education; information ethics; learning analytics; student privacy,EDUCATION,"Higher education institutions have started using big data analytics tools. By gathering information about students as they navigate information systems, learning analytics employs techniques to understand student behaviors and to improve instructional, curricular, and support resources and learning environments. However, learning analytics presents important moral and policy issues surrounding student privacy. We argue that there are five crucial questions about student privacy that we must address in order to ensure that whatever the laudable goals and gains of learning analytics, they are commensurate with respecting students' privacy and associated rights, including (but not limited to) autonomy interests. We address information access concerns, the intrusive nature of information-gathering practices, whether or not learning analytics is justified given the potential distribution of consequences and benefits, and issues related to student autonomy. Finally, we question whether learning analytics advances the aims of higher education or runs counter to those goals."
"Digital education governance: data visualization, predictive analytics, and 'real-time' policy instruments",big data; database; governance; infrastructure; policy instruments; predictive analytics; visualization,BIG DATA; ALGORITHMIC POWER; DATAVEILLANCE; DATABASES; NETWORKS; PARADIGM; SOFTWARE,"Educational institutions and governing practices are increasingly augmented with digital database technologies that function as new kinds of policy instruments. This article surveys and maps the landscape of digital policy instrumentation in education and provides two detailed case studies of new digital data systems. The Learning Curve is a massive online data bank, produced by Pearson Education, which deploys highly sophisticated digital interactive data visualizations to construct knowledge about education systems. The second case considers learning analytics' platforms that enable the tracking and predicting of students' performances through their digital data traces. These digital policy instruments are evidence of how digital database instruments and infrastructures are now at the centre of efforts to know, govern and manage education both nationally and globally. The governing of education, augmented by techniques of digital education governance, is being distributed and displaced to new digitized centres of calculation', such as Pearson and Knewton, with the technical expertise to calculate and visualize the data, plus the predictive analytics capacities to anticipate and pre-empt educational futures. As part of a data-driven style of governing, these emerging digital policy instruments prefigure the emergence of real-time' and future-tense' techniques of digital education governance."
MODELING THE HUMANITIES: DATA LESSONS FROM THE WORLD OF EDUCATION,educational data modeling; learning analytics; computational analysis; 'big' data; human-machine patterning,,"This article will explore advances in the field of educational data modeling that have implications for modeling humanistic data. Traditional humanistic inquiry, bolstered by micro-analyses conducted by the scholar, has made way for machine-assisted methods that parse and quantify large amounts of qualitative data to reveal possible trends and focus more analogue approaches. At best, this play between human-and machine-directed approaches can lead to more profound explorations of texts. In this exploration of qualitative-quantitative methodologies that leverage human agency and machine-directed techniques, I suggest a mixed methods approach for dealing with the humanities. Specifically, this discussion will analyze the current methodological tensions related to Educational Data Mining and Learning Analytics to reveal best practices for modeling humanistic data. Principle questions of interest in this essay include: What defines literary big data? How can we define DH modeling and where does it depart from traditional data modeling? What role does machine-based modeling have in the context of the scholarly close read? What can we learn from educational data modeling practices that are in the midst of resolving tensions between human-machine patterning?"
Big Data & eLearning: A Binomial to the Future of the Knowledge Society,Big Data; Distance learning; Educational technology; Learning analytics,,"There is no doubt that in what refers to the educational area, technology is producing a series of changes that will greatly affect our near future. The increase of students experiences in the new educational systems in distance learning makes possible to have information related to the students 'activities and how these can be dealt with automatic procedures. The implementation of these analytical methods is possible through the use of powerful new technologies such as Data Mining or Big Data. Relevant information is obtained of the use made by the students of the technological tools in a Learning Management System, thus, allowing us to infer a pattern of behavior of the students, to be used in the future."
Regulating big data education in Europe: lessons learned from the US,Education; Learning analytics; Student data; Big data,PRIVACY,"European schools are increasingly relying on vendors to collect, process, analyse, and even make decisions based on a considerable amount of student data through big data tools and methods. Consequently, portions of school's power are gradually shifting from traditional public schools to the hands of for-profit organisations. This article discusses the current and forthcoming European Union (EU) data protection regime with respect to the protection of student rights from the potential risk of outsourcing student data utilisation in Kindergarten-12th grade (K-12) educational systems. The article identifies what lessons can be drawn from recent developments in the United States (US) student data affair. These lessons can provide a new perspective for designing a balanced policy for regulating the shift in school's power."
DESIGN OF HYBRID LABS IN ENGINEERING: A PROPOSAL FOR STEM LEARNING,Hybrid labs in engineering; Technology Acceptance Model TAM; STEM,EDUCATION; ENGAGEMENT; REMOTE,"The purpose of this paper is to detail a methodology for designing hybrid laboratories (HL) in manufacturing engineering. The proposed methodology includes physic and logic layers and also the HL management in its different modes of operation. The design takes into account the role of actors in learning science, technology, engineering and mathematics (STEM). Finally, a first learning experience involving students from the University of Castilla-La Mancha (UCLM) of Spain and EAN of Colombia will be detailed. Different pedagogical models coincide on the importance of using laboratories for training in STEM according to the new training needs. However, the main issue consists in using the same lab on different leaning environments (e.g. face to face or blended learning) simultaneously. The idea of combining conventional education equipment with simulation software, and remotely access platforms supported by ICTs (information and communications technology) is a solution that allows the development of hybrid laboratories, taking the advantages of each type of laboratory, integrating equipment and generating synergies. In addition, HL offers the possibility of including emerging technologies (augmented reality, sensor networks, haptic, virtualization, tele-presence, tele-sensing, Big data, IoT, Avatars) for improving learning techniques. This challenge requires efforts on: Technics: The HL must be non-intrusive, guaranteeing equipment integrity, using self-machine software, plug and play technology, and developing replicable and low-cost modules. Pedagogy: In order to integrate it into the learning management system, supporting new methodologies (custom and open learning, flipped classroom), making learning assessment models (learning analytics) or data mining to feedback the results and improve the methodology. Social: The approach should be transdisciplinary and multi-user. It should allow the inclusion of networks or collaborative working. It also should benefit the development of cluster of Labs, sharing learning resources and equipment between institutions. The design has followed guidelines such as: IEEE P1484.1 / D9, and IEEE P1876 (Preliminary) that focus on the structure and components of learning environments. We propose using a methodology based on Engineering design tools that complies with the expectations of education for STEM in all its forms, overcomes the proposed challenges and complies with regulations. The HL design employs techniques and design methodologies in order to integrate a functional model (logic, physics and management). The followed steps are: Requirements: The role of actors, pedagogical models applied to STEM, and relevant regulations were analyzed. Architecture & prototyping: A basic prototype of HL for teaching CNC machining process was designed and built. The experimental module (SMART) was applied to 2 undergraduate courses; on-site (UCLM, Spain) and virtual (EAN University, Colombia). Evolution: Some recommendations for increasing scalability and flexibility were established."
Early-stage Engagement: Applying Big Data Analytics on Collaborative Learning Environment for Measuring Learners Engagement Rate,Computer-supported Collaborative Learning; Learning Analytics; Collaborative Programming; Clickstream Data; Big-Data Analysis,SYSTEM; EFFICACY; SUPPORT,"Computer-supported Collaborative Learning (CSCL) is a pedagogical strategy associated with how learners construct knowledge with a group by computer-based learning system. In recent years, most of the computer-based learning systems record the interaction log of each learner when developing course assignments. However, the recorded data is facing a challenge to expose the learners behaviors during the course and to design a computer-supported collaborative learning activity. To address those challenges in this paper, a novel collaborative programming tool called Software Project Development and Insight Learning Environment (SPDI Learning Environment) is described. The SPDI Learning Environment allows learners of computer science to develop course assignments collaboratively. Besides, it allows instructors to investigate the learners behaviors by associating a web-based integrated development environment (IDE) with Big Data analysis pipeline and Visualization Dashboard. In addition to collect real data from courses, we designed learning activities to help teachers to engage the field of CSCL and Learning Analytics."
An Overview Of Studies About Students' Performance Analysis and Learning Analytics in MOOCs,Big Data; Learning Analytics; Educational Data Mining; MOOC; Performance Analysis,,"In this paper, we aimed to guide about latest development and studies about students' performance analysis and Learning Analytics in Massively Open Online Courses ( MOOCs) for researchers related with the topics. For this purpose short review for usage of performance prediction and Learning Analytics in MOOCs is investigated In our study, to help readers get familiar with our topic, firstly literature information about basic concepts are explained. Then to understand features' importance level and their relationships more detailed, information about some papers were provided. After that, findings about usage of student performance prediction and Learning Analytics in MOOCs are summarized."
Implementing Machine Learning on a big Data Engine for e-Learning,eLearning analytics; big learning data; eLearning data mining; apache Spark; education,,"Due to high volume, velocity, and variety (referred to as 3V) of data production, the term big data has recently emerged. Because of such fast data growth, Data centers of educational institutions are seemingly exploding as well. Therefore, big data is making its way to the field of E-learning. Nowadays large educational institutions feel the urgent need to analyze this flood of data to provide students with higher quality of services. Despite the fact that there is huge volume and variety of data with high velocity of production, the existing traditional methods are unable to analyze such data. In other words, there is little done on implementing learning analytics on big data engines. The author created a scalable machine learning system on a cluster of three machines suitable for large dataset operations using big data engine and implemented an early warning process with machine learning techniques. The dataset was obtained from online and semionline courses from The University of Tehran. Many features like access time, history of access and history of actions of students were extracted and used for the classification task. A parallel distributed classification process was run to predict students' success and failures. It offers a fast, scalable and in-memory process with apache Spark. Eventually, the research compares the efficiency of proposed method with current and common methods'. The results reveal that our model had a high classification accuracy and the larger the dataset, the more efficient our process will be. It also discusses a new term learning analytic and big data that are completely new and worth reading. My paper contains worthy information about implementing ELearning data mining on big data engines."
Towards a Big Data Architecture for Facilitating Cyber Threat Intelligence,Big data architecture; Hadoop; Cyber security; Machine learning; Predictive analytics,,"Internet and organizational network security is still threatened by devastating malicious activities. Given the continuous escalation of such attacks in terms of their frequency, sophistication and stealthiness, it is of paramount importance to generate effective cyber threat intelligence that aim at inferring, attributing, characterizing and mitigating such misdemeanors. Nevertheless, such imperative tasks are partially impeded by the lack of approaches that can produce prompt and accurate actionable intelligence by investigating various network traffic sources. In this paper, we propose and evaluate a big data architecture that is rooted in real-time network traffic processing, distributed messaging and scalable data storage. The key benefit of the proposed architecture is that it automates the aggregation and transformations of heterogeneous network data, allowing for greater focus on cyber threat intelligence analytics, rather than data management, aggregation, reconciliation and formatting. Empirical evaluations investigating the application of machine learning analytics by exploiting the artifacts resulting from a prototype of the proposed architecture and by using 100 GB of real network traffic, indeed demonstrate the practicality, effectiveness, and added-value of the proposed architecture."
Bayesian Network for predicting students' final grade using e-book Logs in University Education,component; E-book; association analysis; social network analysis; learning analytics,,"This paper describes visualization and analysis methods using educational big data collected by research project at Kyushu University in Japan. The project uses an e-book system called BookLooper, Moodle, and Mahara. Logs for this analytics were collected from 99 first-year students in an information science course at Kyushu University. The number of logs are collected approximately 330,000, and this paper visualize and analyze the collected logs. The purpose of this study is to predict students' final grade and to profile visualization and analysis results. The prediction of this study shows that it leads to discoveries of students who fail to make the grade."
Datawarehouse design for Educational Data Mining,Business intelligence; Datawarehouse; Knowledge management; ETL; Educational data mining,,"Business intelligence (BI) builds upon a set of tools and applications that enable the analysis of vast amounts of information (Big Data). Educational institutions handle large volumes of Big Data every year. There is a strong need for the use of BI in these institutions to improve their processes and support decision making. The core technology in a BI project is a datawarehouse (DW). This paper describes the design considerations for the implementation of the DW in an educational scenario. The DW will be used in a knowledge discovery process to handle the information for the analysis of key performance indicators using educational data mining (EDM) techniques. The DW along with an enterprise architecture (EA) repository are the key technological assets of a knowledge management framework (KMF). This framework was designed to put order in the creation, capture, transfer and digitalization of knowledge. This guide and the framework are two of the outcomes of a research project in a private university. Furthermore, a case study suggests how to choose the best methodology in higher institutions. In the case study the steps for the DW design are presented. This study can be useful for academics and practitioners that plan to design a DW to analyze information using EDM techniques."
Group Learning Analysis and Individual Learning Diagnosis from the Perspective of Big Data,learning analytics; learning diagnostic; moodle; big data,,"This paper takes a blended course as an example in moodle platform. As a case study, multiple methods including statistical analysis, visualization and social network analysis were used to analyze the process and results of online learning. With the concept of Big Data, it analyzes 22 classes of 1088 students and teachers from a comprehensive perspective. It includes the access behavior, resource utilization, self-test exercises, interactive behavior and academic point of view of group behavior characteristics of online learning. In addition, it offers a sample of the self-diagnostic study report, thereby providing a learning diagnosis and decision-making reference for learners, teachers and administrators."
A Framework for Open Assurance of Learning,Assurance of Learning; AACSB; Analytics; Open Framework; R; Shiny,,"Assurance of Learning (AOL) refers to the outcomes assessment process which involves the systematic collection, review, and use of information about educational programs undertaken for the purpose of improving student learning and development [8]. While emerging trends such as open education, open learning, learning analytics, academic analytics, and big data in education have recently become mainstream, studies regarding the design and development of open source analytics applications for AOL are non-existent. In this paper, we describe an application called AOL Analyzer that we developed for our business school last year to assist in the analysis of AOL results reported by faculty. To the best of our knowledge, this is a first paper to bridge the existing gap in AOL analytics research."
Monitoring students activities in CS courses,Social networking; complex networks; Big Data; web application; e-learning; learning analytics,TRUST,"The act of learning is becoming more and more sophisticated, thanks to several models and tools available today, like MOOCs, personalization, social networks, Web 2.0, gamification and others. This vast landscape leads to a huge amount of datasets thus the Big Data paradigm is also being adopted. Joined with Big Data is the emergency of extracting information about students' learning interactions and return them to teachers (learning analytics). According to this scenario, in this paper we introduce the e-learning platform currently used at University of Catania. The platform also collects data about all these students activities acting as a Big Data base for further learning analytics."
Educational Data Mining with Python and Apache Spark: A Hands-on Tutorial,educational data mining; learning analytics; python; spark; predictive analytics; machine learning; exploratory data analysis; big data; data mining; visualization; simulation; parallel computing,,"Enormous amount of educational data has been accumulated through Massive Open Online Courses (MOOCs), as well as commercial and non-commercial learning platforms. This is in addition to the educational data released by US government since 2012 to facilitate disruption in education by making data freely available. The high volume, variety and velocity of collected data necessitate use of big data tools and storage systems such as distributed databases for storage and Apache Spark for analysis. This tutorial will introduce researchers and faculty to real world applications involving data mining and predictive analytics in learning sciences. In addition, the tutorial will introduce statistics required to validate and accurately report results. Topics will cover how big data is being used to transform education. Specifically, we will demonstrate how exploratory data analysis, data mining, predictive analytics, machine learning, and visualization techniques are being applied to educational big data to improve learning and scale insights driven from millions of student's records. The tutorial will be held over a half day and will be hands on with pre-posted material. Due to the interdisciplinary nature of work, the tutorial appeals to researchers from a wide range of backgrounds including big data, predictive analytics, learning sciences, educational data mining, and in general, those interested in how big data analytics can transform learning. As a prerequisite, attendees are required to have familiarity with at least one programming language."
Academic Performance Prediction Using Chance Discovery from Online Discussion Forums,Educational data mining; Topic Detection; Serendipitous Learning; Learning Analytics; Chance Discovery; KeyGraph; Big Data,FORMATIVE ASSESSMENT; LEARNING ANALYTICS; FEEDBACK; EDUCATION,"In this paper, we present our preliminary results of identifying serendipitous findings from discussion forums of students by using a text-mining analytical tool to predict their academic performances. The analytical results were visualized by constructing KeyGraphs so that teachers can assess the effectiveness of teaching and innovation of learning respectively through the visualization of hidden patterns in the online learning environment. Our results show that the serendipitous findings have shown a traceable pattern, which is statistically significant to predict the academic performance of students. The research findings can lead to adaptive pedagogical designs for teaching and learning by finding hidden patterns and linkages among the students' serendipitous learning. The identified results are expected to support both teachers and students on how to improve teaching and learning with feedbacks from this new tool. Ultimately, this creates a new approach for transformative learning and teaching in education by using the advanced mining technology to assess the students' knowledge discovery process."
Research on Visualized Design for Role-Based Online Learning Analytics,Learning analytics; Learning analytics visualization; Educational big data; Online learning,,"The in-depth application of new technologies have brought about an explosion of educational data and people are placing more and more emphasis on learning analytics. Against this background, how to make better use of these data and display them in a visualized manner has become an urgent issue in applying learning analytics to education and learning process. This paper introduced the current research status and relevant cases of learning analytics visualization, brought forward learning analytics visualization model, and then displayed the design connotation of learning analytics visualization from the perspectives of different stakeholders (students, teachers and administrators)."
Construction on Learning Analytics Object for Sharing and Interoperation of Educational Big Data,Educational Big Data; Learning Analytics Object; Data Format Model of Learning Analytics; Dataflow,,"Educational Big Data (EBD) come from various types of Educational Systems such as LMS, CMS, ITS, SLS, and MOOCs. How to share and interoperate Educational Big Data for Learning Analytics (LA) has garnered a lot of research attention. In the paper, we probe into the process of Learning Analytics, outline the dataflow of EBD, define the Learning Analytics Object, and propose a new data format model for the Learning Analytics object to actualize the sharing and interoperability of Learning Analytics."
Study of Higher Education Reform under the background of Big Data,Big Data; higher education reform; educational data mining; intelligentization,,"Along with the enhancement of the education informationization, more and more educational data has been collected, analyzed and applied. Big Data will promote a revolutionary change on teachers, students, university management and even the entire education system, leading to the deconstruction and reconstruction of education principles and education forms. Consequently how to utilize learning analysis and educational data mining technology, transform the online learning data into information in action, explore the underlying value of data, to improve the teaching and learning, will undoubtedly have a positive theoretical and practical significance. The paper first interprets characteristics and technology of education data, then analyzes the multiple challenges higher education being faced with in the era of Big Data; finally in terms of teaching, learning and management these three aspects excavates the direction of higher education reform under the background of Big Data: transforming it from traditional modes to intelligentization."
Curriculum Design - A Data-Driven Approach,Learning Analytics; Institutional Research; Curriculum Design,,"In the era of big data, analytics plays a crucial role in the educational domain. In this paper, we design a framework to explore the value of a data-driven decision making process. Curriculum design at the departmental level is chosen as an example to illustrate the whole system and process."
Scalable Cloud-based Analysis Framework for Medical Big-data,Cloud-based Big Data Analytics; Big Data; Machine Learning; Scable Framework; Medical,,"Medical care can be improved by efficient analysis of the large amounts of data involved in patient care. Two important challenges for patient care big-data analysis are the need to cope with unstructured images and text (as well as structured data) and the need for efficient methods that scale for large amounts of data generated by the many patients. The framework described here is designed to cope with these challenges. Firstly it is composed of generic components where the initial stage can transform unstructured image or text data into a set of features for the latter stages. Secondly the machine learning analytics engine incorporates three optimizations which allow the framework to scale and deal with large amounts of unstructured data. The framework is evaluated using both image and text data, and shown to provide an efficient scalable solution."
Software-Defined Networking (SDN)-Based Network Services for Smart Learning Environment,Smart learning environment; Big data; Learning analytics; Smart Competence LEarning Analytics platform; Software-defined networking; OpenFlow; Computation time; Computation cost,,"This research paper introduces a state of the art for coupling software-defined networking (SDN) capability in smart learning environment (SLE). Smart Competence LEarning Analytics platform (SCALE) is the learning analytics platform, which has been developed to analyze and measure the learners data (Big data) generated in SLE for understanding the various learners competence measures. The learning analytics involves various processes such as distributing, analyzing, and merging the results across the clusters. It requires a large amount of bandwidth and computation cycles in an on-demand manner to reduce the total computation time and computation cost. Hence, in this research paper, we introduce a SDN-based networking principle with SCALE, which provision the network paths and allocates the bandwidth in an on-demand manner. The experiment results were conducted to analyze the performance and impact of SDN in SCALE platform."
Visualization Improvement in Learning Analytics Using Semantic Enrichment,Learning analytics; Ontology; Semantic representation; MapReduce and visualization,,"This chapter presents a learning analytics and knowledge representation framework to support analysis and visualization of data extracted from MOOC ( Massive Open Online Course). Data analytics provides methods and tools to analyze big data sets. In the context of learning, these methods have helped analyze MOOC data, mainly to characterize groups of learners. On the other hand, semantic Web and eLearning research groups are working on ontological representation of learning scenario components. Our project joins those efforts, both to discover relations through bottom-up analytics and to organize and focus the analysis with a semantic representation of the learning scenario. The first section states the problem and sketches the solution. The proposed framework is composed of four stages: data cleaning and formatting, bottom-up data analysis, semantic analysis, and finally visualization. The specification and implementation of each step is described in the following sections. The last section presents the evaluation of the project and conclusions."
A Study on the Application of Big Data to the Korean College Education System,Big-Data; Learning analytics; Horizon Report; Predictive Analytics,,"Big data are referred to bulk data which cannot be collected, saved, and analyzed with the traditional data analysis tools. The field of learning analysis, which has consistently appeared on the Horizon Report from New Media Consortium for the recent years, is receiving fresh attention with the proliferation of big data. The purpose of this study is to examine the environment for the learning analytics, a branch field of big data, to be applied to the Korean education curricular and its possibility and find out how to improve them. First, as an application of a new technology involves side effects in most cases, it is desirable that potential problems be considered from the beginning and negative effects be minimized. Second, the learning analytics begins with securing sufficient data, and a data exchange system should be established for setting up the data ecology. Third, as big data are applied to public data and the corporate business areas and frequently mentioned in the media, the expectation for their potential growth is reaching its peak. (C) 2016 Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license."
"Collect, Scope, and Verify Big Data - A Framework for Institution Accreditation",Big Data; Higher Education; Learning Analytics,,"Institutions in higher education generate terabytes of data that has great value to shape future of nations. This Big Data is in heterogeneous formats, very current, and in large volumes. We propose a framework to collect, scope and verify this large amount of data. Although the framework is explained in the context of institution accreditation in higher education, the framework can be applied in the fields of health-care, finance, marketing etc. Our framework is used to reduce human involvement in the collection and analysis of data, for the purpose of accreditation. The framework extends the scope of data collected to target the heterogeneous nature of the data. Finally, our framework helps to verify the data against a standard set by an accreditation body."
